Date,Ticker,Open,High,Low,Close,Volume,Target,RSI,MACD,Signal_Line,Upper_BB,Lower_BB,ATR,%K,%D
2000-02-18,AAPL,1.0234375,1.0301339285714286,0.9899553571428572,0.9933035714285714,20843.0,6.9101,48.39,0.024,0.026,1.07,0.97,0.045,25.67,44.21
2000-02-22,AAPL,0.9832589285714286,1.0440848214285714,0.9525669642857144,1.0161830357142858,37705.0,6.425,54.17,0.023,0.024,1.07,0.97,0.053,53.77,45.37
2000-02-23,AAPL,1.0110212053571428,1.0625,0.9910714285714286,1.0379464285714286,42241.0,-2.7016,59.24,0.024,0.024,1.07,0.97,0.056,72.17,50.54
2000-02-24,AAPL,1.0474330357142858,1.0636160714285714,0.9977678571428572,1.0285993303571428,33610.0,-12.5729,56.13,0.023,0.024,1.07,0.97,0.056,64.27,63.4
2000-02-25,AAPL,1.0251116071428572,1.0446428571428572,0.9832589285714286,0.9854910714285714,22245.0,7.8143,43.77,0.017,0.02,1.07,0.96,0.059,29.65,55.36
2000-02-28,AAPL,0.9832589285714286,1.0267857142857142,0.9676339285714286,1.0111607142857142,29315.0,3.6424,51.23,0.016,0.018,1.07,0.98,0.059,52.76,48.89
2000-02-29,AAPL,1.0139508928571428,1.046875,1.0050223214285714,1.0234375,32943.0,20.30319100000001,54.59,0.016,0.017,1.06,0.98,0.062,63.82,48.74
2000-03-01,AAPL,1.05859375,1.1791294642857142,1.0580357142857142,1.1635044642857142,96161.0,-18.580005,76.32,0.031,0.024,1.13,0.93,0.078,93.1,69.89
2000-03-02,AAPL,1.1339285714285714,1.1422991071428572,1.0775669642857142,1.0892857142857142,27791.0,14.7541,58.9,0.033,0.029,1.14,0.93,0.077,57.52,71.48
2000-03-03,AAPL,1.1149553571428572,1.1449497767857142,1.0714285714285714,1.1428571428571428,28872.0,-5.4199,65.52,0.04,0.034,1.17,0.93,0.078,82.85,77.82
2000-03-06,AAPL,1.125,1.1529017857142858,1.1160714285714286,1.1222098214285714,18800.0,-6.7131,61.1,0.042,0.038,1.19,0.94,0.073,73.09,71.15
2000-03-07,AAPL,1.12890625,1.1378348214285714,1.0814732142857142,1.0970982142857142,24376.0,-2.1363,55.75,0.04,0.039,1.19,0.95,0.073,61.21,72.38
2000-03-08,AAPL,1.0970982142857142,1.1065848214285714,1.05859375,1.0892857142857142,24217.0,0.6148,54.03,0.037,0.038,1.2,0.96,0.071,48.4,60.9
2000-03-09,AAPL,1.0792410714285714,1.1160714285714286,1.0558035714285714,1.0915178571428572,24707.0,8.589,54.5,0.034,0.036,1.2,0.97,0.074,28.96,46.19
2000-03-10,AAPL,1.0864955357142858,1.1422991071428572,1.0803571428571428,1.1227678571428572,22197.0,-10.5865,60.97,0.035,0.036,1.19,1.0,0.06,68.97,48.78
2000-03-13,AAPL,1.0904017857142858,1.1294642857142858,1.0669642857142858,1.0831473214285714,27139.0,-17.4652,50.37,0.03,0.033,1.18,1.03,0.057,28.16,42.03
2000-03-14,AAPL,1.0823102678571428,1.109375,1.0178571428571428,1.0200892857142858,38266.0,5.2516,38.08,0.02,0.026,1.18,1.02,0.06,1.65,32.93
2000-03-15,AAPL,1.0323660714285714,1.0736607142857142,1.0189732142857142,1.0379464285714286,39608.0,13.7097,42.7,0.014,0.02,1.16,1.01,0.062,16.14,15.32
2000-03-16,AAPL,1.0474330357142858,1.0892857142857142,1.0223214285714286,1.0853794642857142,33759.0,8.4833,53.46,0.014,0.017,1.16,1.01,0.064,54.26,24.02
2000-03-17,AAPL,1.0725446428571428,1.1160714285714286,1.0680803571428572,1.1160714285714286,27236.0,-4.8,59.24,0.018,0.018,1.15,1.02,0.064,78.92,49.77
2000-03-20,AAPL,1.1026785714285714,1.1272321428571428,1.0926339285714286,1.0982142857142858,18258.0,20.30319100000001,54.63,0.018,0.018,1.15,1.02,0.06,64.57,65.92
2000-03-21,AAPL,1.0943080357142858,1.2209821428571428,1.0859375,1.2047991071428572,46815.0,20.30319100000001,70.57,0.029,0.023,1.19,1.0,0.07,92.03,78.51
2000-03-22,AAPL,1.185546875,1.2890625,1.1746651785714286,1.2873883928571428,50714.0,-5.9818,77.66,0.046,0.035,1.27,0.96,0.078,99.38,85.33
2000-03-23,AAPL,1.2678571428571428,1.3426339285714286,1.25,1.26171875,50229.0,-5.5728,71.42,0.055,0.045,1.31,0.95,0.078,75.0,88.8
2000-03-24,AAPL,1.2717633928571428,1.28515625,1.2098214285714286,1.23828125,39903.0,1.8927,65.79,0.058,0.051,1.34,0.95,0.081,67.42,80.6
2000-03-27,AAPL,1.2287946428571428,1.2924107142857142,1.2220982142857142,1.24609375,24927.0,-0.9404,66.81,0.059,0.055,1.36,0.96,0.081,64.84,69.09
2000-03-28,AAPL,1.2254464285714286,1.2678571428571428,1.2243303571428572,1.2421875,18122.0,-6.8733,65.67,0.059,0.057,1.36,1.01,0.081,60.87,64.38
2000-03-29,AAPL,1.2444196428571428,1.2449776785714286,1.1948939732142858,1.2137276785714286,21414.0,-18.580005,57.35,0.055,0.056,1.34,1.05,0.083,49.78,58.5
2000-03-30,AAPL,1.1925223214285714,1.2293526785714286,1.1199776785714286,1.1227678571428572,37000.0,20.30319100000001,38.95,0.041,0.049,1.34,1.07,0.079,1.25,37.3
2000-03-31,AAPL,1.1378348214285714,1.2254464285714286,1.125,1.2126116071428572,36128.0,-5.5223,55.43,0.039,0.044,1.33,1.09,0.078,41.6,30.88
2000-04-03,AAPL,1.2098214285714286,1.2455357142857142,1.1556919642857142,1.1902901785714286,29336.0,-13.5021,51.41,0.035,0.039,1.31,1.13,0.077,40.78,27.88
2000-04-04,AAPL,1.1841517857142858,1.1875,1.0424107142857142,1.13671875,58958.0,7.2165,42.73,0.026,0.033,1.32,1.11,0.088,37.72,40.03
2000-04-05,AAPL,1.1291852678571428,1.1863839285714286,1.1071428571428572,1.1640625,40863.0,-11.9367,47.96,0.022,0.027,1.3,1.11,0.089,53.96,44.15
2000-04-06,AAPL,1.1662946428571428,1.2008928571428572,1.1004464285714286,1.1177455357142858,23181.0,15.7264,40.63,0.013,0.02,1.29,1.09,0.097,37.09,42.92
2000-04-07,AAPL,1.1361607142857142,1.1774553571428572,1.1205357142857142,1.1763392857142858,21646.0,-15.37,51.56,0.013,0.017,1.28,1.09,0.098,65.93,52.33
2000-04-10,AAPL,1.17578125,1.1852678571428572,1.1138392857142858,1.1160714285714286,18952.0,-13.35,42.23,0.006,0.011,1.26,1.08,0.093,36.26,46.43
2000-04-11,AAPL,1.1026785714285714,1.1149553571428572,1.0541294642857142,1.06640625,48377.0,-18.580005,35.97,-0.004,0.004,1.25,1.06,0.087,11.81,38.0
2000-04-12,AAPL,1.0625,1.0625,0.9363839285714286,0.9754464285714286,84030.0,12.5286,27.32,-0.022,-0.009,1.26,0.99,0.093,14.77,20.95
2000-04-13,AAPL,0.9955357142857144,1.0714285714285714,0.96875,1.0161830357142858,47306.0,-5.1071,35.43,-0.03,-0.02,1.27,0.96,0.086,30.17,18.92
2000-04-14,AAPL,0.9760044642857144,1.0535714285714286,0.9732142857142856,0.9988839285714286,59609.0,20.30319100000001,33.58,-0.037,-0.028,1.25,0.94,0.087,23.63,22.86
2000-04-17,AAPL,0.9776785714285714,1.1065848214285714,0.9737723214285714,1.1060267857142858,36568.0,7.2654,51.82,-0.03,-0.029,1.23,0.95,0.091,68.16,40.65
2000-04-18,AAPL,1.1026785714285714,1.1328125,1.0658482142857142,1.1328125,34904.0,-13.5961,55.39,-0.021,-0.025,1.23,0.95,0.092,78.92,56.9
2000-04-19,AAPL,1.1266741071428572,1.1629464285714286,1.0691964285714286,1.0814732142857142,46442.0,-5.5728,47.51,-0.02,-0.023,1.21,0.95,0.096,64.04,70.37
2000-04-20,AAPL,1.1043526785714286,1.1138392857142858,1.0452008928571428,1.0613839285714286,64475.0,4.1009,44.62,-0.021,-0.022,1.2,0.95,0.096,55.17,66.04
2000-04-24,AAPL,1.0267857142857142,1.0758928571428572,1.0245535714285714,1.0758928571428572,39609.0,19.4502,47.32,-0.02,-0.021,1.17,0.96,0.085,55.17,58.13
2000-04-25,AAPL,1.0904017857142858,1.1495535714285714,1.08984375,1.1456473214285714,34968.0,-16.3663,58.66,-0.011,-0.016,1.18,0.95,0.081,90.88,67.07
2000-04-26,AAPL,1.1305803571428572,1.1428571428571428,1.0714285714285714,1.0831473214285714,32760.0,13.4467,47.89,-0.011,-0.013,1.18,0.96,0.08,57.82,67.96
2000-04-27,AAPL,1.0463169642857142,1.1339285714285714,1.0408761160714286,1.1316964285714286,29161.0,-6.3609,55.32,-0.006,-0.01,1.18,0.99,0.075,77.42,75.37
2000-04-28,AAPL,1.1350446428571428,1.1383928571428572,1.0831473214285714,1.1077008928571428,22284.0,0.6045,51.12,-0.004,-0.007,1.18,1.01,0.073,60.08,65.11
2000-05-01,AAPL,1.1149553571428572,1.1171875,1.0881696428571428,1.1099330357142858,20196.0,-15.5354,51.52,-0.003,-0.005,1.16,1.05,0.064,68.3,68.6
2000-05-02,AAPL,1.1004464285714286,1.1272321428571428,1.0491071428571428,1.0524553571428572,21110.0,-7.158,41.35,-0.008,-0.006,1.16,1.03,0.065,22.32,50.23
2000-05-03,AAPL,1.0619419642857142,1.0825892857142858,0.9966517857142856,1.02734375,43732.0,-11.4068,37.57,-0.015,-0.011,1.16,1.01,0.07,20.07,36.9
2000-05-04,AAPL,1.0279017857142858,1.0290178571428572,0.9871651785714286,0.98828125,35671.0,6.6064,32.23,-0.023,-0.017,1.17,0.98,0.065,0.72,14.37
2000-05-05,AAPL,0.9893973214285714,1.0245535714285714,0.9885602678571428,1.0100446428571428,25364.0,-7.9558,37.96,-0.027,-0.022,1.18,0.97,0.06,15.13,11.97
2000-05-08,AAPL,1.0008370535714286,1.0150669642857142,0.9821428571428572,0.9832589285714286,16509.0,-12.7696,33.85,-0.032,-0.027,1.18,0.94,0.051,0.71,5.52
2000-05-09,AAPL,0.9849330357142856,0.9933035714285714,0.9363839285714286,0.94140625,29209.0,-17.4274,28.27,-0.039,-0.033,1.17,0.92,0.052,2.63,6.16
2000-05-10,AAPL,0.9291294642857144,0.9375,0.8816964285714286,0.88671875,47776.0,10.5727,22.59,-0.05,-0.041,1.18,0.87,0.056,2.05,1.8
2000-05-11,AAPL,0.9051339285714286,0.9308035714285714,0.8839285714285714,0.91796875,44620.0,14.0426,31.73,-0.054,-0.048,1.15,0.85,0.051,18.06,7.58
2000-05-12,AAPL,0.9464285714285714,0.9866071428571428,0.9354073660714286,0.9609375,27403.0,-18.4669,42.61,-0.051,-0.049,1.12,0.86,0.049,53.79,24.63
2000-05-15,AAPL,0.96484375,0.96484375,0.8939732142857143,0.9017857142857144,60619.0,13.9233,33.93,-0.054,-0.052,1.08,0.86,0.053,14.06,28.64
2000-05-16,AAPL,0.9331752232142856,0.9737723214285714,0.9174107142857144,0.9436383928571428,39326.0,-12.2413,43.44,-0.051,-0.051,1.05,0.86,0.058,46.44,38.1
2000-05-17,AAPL,0.9252232142857144,0.92578125,0.8962053571428571,0.9051339285714286,35544.0,-1.8496,37.63,-0.052,-0.052,1.03,0.86,0.06,21.0,27.17
2000-05-18,AAPL,0.9196428571428572,0.9369419642857144,0.8984375,0.8995535714285714,33373.0,-18.580005,36.79,-0.052,-0.052,1.02,0.85,0.058,17.02,28.15
2000-05-19,AAPL,0.8861607142857143,0.8861607142857143,0.8337053571428571,0.8392857142857143,66131.0,-12.9654,28.77,-0.058,-0.055,1.0,0.84,0.059,3.65,13.89
2000-05-22,AAPL,0.8370535714285714,0.8370535714285714,0.7678571428571429,0.8030133928571429,67456.0,-13.7596,24.95,-0.065,-0.06,1.0,0.8,0.062,16.07,12.25
2000-05-23,AAPL,0.8080357142857143,0.8337053571428571,0.7645089285714286,0.7661830357142857,46213.0,6.555,21.56,-0.073,-0.066,1.01,0.76,0.062,0.8,6.84
2000-05-24,AAPL,0.76953125,0.8013392857142857,0.7410714285714286,0.7829241071428571,60577.0,-1.4433,26.83,-0.076,-0.071,1.01,0.73,0.061,17.99,11.62
2000-05-25,AAPL,0.7901785714285714,0.8272879464285714,0.7678571428571429,0.7791573660714286,36317.0,-3.0618,26.37,-0.077,-0.074,1.0,0.71,0.059,19.44,12.74
2000-05-26,AAPL,0.7857142857142857,0.8024553571428571,0.7611607142857143,0.7712053571428571,16174.0,4.1245,25.29,-0.077,-0.076,0.97,0.7,0.058,15.38,17.6
2000-05-30,AAPL,0.7823660714285714,0.7868303571428571,0.7299107142857143,0.7818080357142857,63666.0,-12.2056,29.76,-0.075,-0.075,0.96,0.7,0.061,33.21,22.68
2000-05-31,AAPL,0.7756696428571429,0.8147321428571429,0.7483258928571429,0.75,38706.0,18.3036,24.6,-0.075,-0.075,0.92,0.7,0.061,18.75,22.45
2000-06-01,AAPL,0.7299107142857143,0.7996651785714286,0.7176339285714286,0.7957589285714286,80700.0,11.5708,41.59,-0.069,-0.072,0.88,0.71,0.062,67.31,39.76
2000-06-02,AAPL,0.8370535714285714,0.890625,0.7946428571428571,0.8264508928571429,70790.0,-4.0513,50.35,-0.06,-0.066,0.84,0.73,0.066,62.9,49.65
2000-06-05,AAPL,0.8331473214285714,0.8504464285714286,0.80078125,0.8152901785714286,28899.0,5.1335,47.34,-0.053,-0.06,0.83,0.74,0.065,56.45,62.22
2000-06-06,AAPL,0.8211495535714286,0.8638392857142857,0.8063616071428571,0.8292410714285714,46918.0,11.9112,51.56,-0.046,-0.053,0.84,0.74,0.064,64.52,61.29
2000-06-07,AAPL,0.8359375,0.8660714285714286,0.8180803571428571,0.8621651785714286,30091.0,-5.4369,60.32,-0.037,-0.045,0.87,0.73,0.065,83.55,68.17
2000-06-08,AAPL,0.8716517857142857,0.8794642857142857,0.8314732142857143,0.8465401785714286,21297.0,2.9664,54.83,-0.031,-0.038,0.88,0.73,0.064,74.52,74.2
2000-06-09,AAPL,0.8638392857142857,0.8744419642857143,0.8426339285714286,0.8549107142857143,22532.0,-14.295,57.26,-0.025,-0.031,0.89,0.74,0.059,79.35,79.14
2000-06-12,AAPL,0.8604910714285714,0.8610491071428571,0.8113839285714286,0.8141741071428571,25923.0,10.8979,43.86,-0.025,-0.028,0.89,0.75,0.054,20.35,58.07
2000-06-13,AAPL,0.8141741071428571,0.8454241071428571,0.7873883928571429,0.84375,31380.0,-12.8968,53.15,-0.021,-0.025,0.89,0.76,0.049,61.21,53.64
2000-06-14,AAPL,0.8454241071428571,0.859375,0.8046875,0.8074776785714286,24772.0,6.4271,42.97,-0.022,-0.023,0.87,0.79,0.05,21.82,34.46
2000-06-15,AAPL,0.8147321428571429,0.8337053571428571,0.7946428571428571,0.8247767857142857,22194.0,-3.8566,48.46,-0.02,-0.022,0.87,0.8,0.047,40.61,41.21
2000-06-16,AAPL,0.8348214285714286,0.8370535714285714,0.7952008928571429,0.8141741071428571,27104.0,17.889,45.34,-0.019,-0.02,0.87,0.79,0.046,29.09,30.51
2000-06-19,AAPL,0.80859375,0.8738839285714286,0.8018973214285714,0.8627232142857143,35179.0,14.3596,59.33,-0.013,-0.017,0.88,0.79,0.05,86.54,52.08
2000-06-20,AAPL,0.8794642857142857,0.9280133928571428,0.8783482142857143,0.9040178571428572,44767.0,20.30319100000001,67.57,-0.004,-0.01,0.9,0.78,0.054,82.94,66.19
2000-06-21,AAPL,0.9017857142857144,1.0167410714285714,0.8984375,0.9933035714285714,87500.0,-10.1124,78.54,0.012,0.001,0.97,0.74,0.064,89.78,86.42
2000-06-22,AAPL,0.9955357142857144,1.0290178571428572,0.9564732142857144,0.9598214285714286,83520.0,-11.5116,68.42,0.02,0.01,1.0,0.74,0.066,70.48,81.07
2000-06-23,AAPL,0.9603794642857144,0.9754464285714286,0.9073660714285714,0.9229910714285714,36601.0,14.1475,58.71,0.022,0.016,1.01,0.74,0.068,54.76,71.67
2000-06-26,AAPL,0.9375,0.9776785714285714,0.9308035714285714,0.9665178571428572,33099.0,-13.164,65.46,0.027,0.022,1.03,0.75,0.07,73.27,66.17
2000-06-27,AAPL,0.9603794642857144,0.9910714285714286,0.921875,0.9241071428571428,36334.0,15.5797,55.2,0.026,0.024,1.03,0.76,0.074,53.81,60.61
2000-06-28,AAPL,0.9520089285714286,0.9888392857142856,0.9196428571428572,0.9720982142857144,51148.0,-17.566,62.88,0.03,0.027,1.04,0.79,0.074,62.22,63.1
2000-06-29,AAPL,0.9475446428571428,0.9631696428571428,0.9118303571428572,0.9151785714285714,36368.0,6.5854,50.82,0.026,0.026,1.03,0.81,0.073,12.82,42.95
2000-06-30,AAPL,0.9430803571428572,0.9810267857142856,0.9229910714285714,0.9352678571428572,57696.0,5.3699,54.42,0.025,0.026,1.01,0.86,0.066,22.94,32.66
2000-07-03,AAPL,0.9308035714285714,0.9698660714285714,0.9308035714285714,0.9520089285714286,12648.0,-9.4959,57.45,0.025,0.025,1.0,0.89,0.061,53.33,29.7
2000-07-05,AAPL,0.9508928571428572,0.9854910714285714,0.90625,0.921875,47360.0,1.0896,50.41,0.022,0.024,1.0,0.89,0.062,18.42,31.56
2000-07-06,AAPL,0.9375,0.9453125,0.8861607142857143,0.9252232142857144,55276.0,15.199,51.19,0.02,0.022,0.98,0.9,0.063,37.23,36.33
2000-07-07,AAPL,0.9391741071428572,0.9787946428571428,0.9308035714285714,0.9720982142857144,47072.0,14.8106,61.11,0.023,0.022,0.99,0.9,0.061,83.7,46.45
2000-07-10,AAPL,0.9659598214285714,1.0401785714285714,0.9598214285714286,1.0200892857142858,71035.0,-0.9847,68.71,0.03,0.026,1.02,0.88,0.062,86.96,69.3
2000-07-11,AAPL,1.0178571428571428,1.0580357142857142,0.9899553571428572,1.0167410714285714,63910.0,10.2086,67.64,0.034,0.03,1.03,0.88,0.064,75.97,82.21
2000-07-12,AAPL,1.0379464285714286,1.0524553571428572,1.0066964285714286,1.0513392857142858,40256.0,-12.1019,72.77,0.04,0.035,1.06,0.87,0.061,96.1,86.34
2000-07-13,AAPL,1.0446428571428572,1.0825892857142858,0.9776785714285714,1.0089285714285714,79582.0,6.3053,59.31,0.039,0.037,1.07,0.87,0.07,62.5,78.19
2000-07-14,AAPL,1.0200892857142858,1.0535714285714286,1.015625,1.0301339285714286,33978.0,3.2503,63.27,0.04,0.039,1.08,0.89,0.065,73.3,77.3
2000-07-17,AAPL,1.0401785714285714,1.0502232142857142,1.0200892857142858,1.0412946428571428,46429.0,-5.4662,65.35,0.041,0.04,1.09,0.9,0.061,72.79,69.53
2000-07-18,AAPL,1.0446428571428572,1.0513392857142858,1.015625,1.0223214285714286,56858.0,-18.580005,58.77,0.039,0.039,1.09,0.91,0.059,50.91,65.67
2000-07-19,AAPL,0.9854910714285714,1.0145089285714286,0.9241071428571428,0.9408482142857144,81763.0,13.879,39.06,0.028,0.034,1.09,0.92,0.061,10.56,44.75
2000-07-20,AAPL,0.9821428571428572,1.0189732142857142,0.9665178571428572,0.984375,83138.0,-8.5034,49.6,0.025,0.029,1.08,0.94,0.062,38.03,33.17
2000-07-21,AAPL,0.970703125,0.9933035714285714,0.9453125,0.9564732142857144,35042.0,-18.580005,43.92,0.018,0.024,1.08,0.94,0.063,20.42,23.0
2000-07-24,AAPL,0.9386160714285714,0.9441964285714286,0.8482142857142857,0.8694196428571429,73602.0,8.4724,31.0,0.004,0.014,1.1,0.88,0.063,10.33,22.93
2000-07-25,AAPL,0.8984375,0.9040178571428572,0.8761160714285714,0.8939732142857143,37787.0,0.0,37.09,-0.004,0.005,1.11,0.85,0.062,22.53,17.76
2000-07-26,AAPL,0.8900669642857143,0.9151785714285714,0.8794642857142857,0.8939732142857143,37584.0,11.6105,37.09,-0.01,-0.003,1.09,0.84,0.063,22.53,18.46
2000-07-27,AAPL,0.8928571428571429,0.9508928571428572,0.890625,0.9285714285714286,52676.0,-18.580005,46.2,-0.01,-0.006,1.08,0.83,0.066,47.06,30.71
2000-07-28,AAPL,0.93359375,0.9375,0.8370535714285714,0.8627232142857143,42481.0,15.5239,34.96,-0.017,-0.012,1.06,0.82,0.066,14.11,27.9
2000-07-31,AAPL,0.8777901785714286,0.921875,0.8705357142857143,0.9073660714285714,27732.0,-8.8561,45.45,-0.017,-0.014,1.03,0.82,0.064,45.0,35.39
2000-08-01,AAPL,0.8984375,0.9135044642857144,0.8794642857142857,0.8805803571428571,24515.0,-12.5475,40.84,-0.019,-0.017,0.99,0.83,0.062,38.24,32.45
2000-08-02,AAPL,0.875,0.8917410714285714,0.8426339285714286,0.84375,28992.0,4.7619,35.12,-0.025,-0.021,0.99,0.82,0.053,5.88,29.71
2000-08-03,AAPL,0.8136160714285714,0.8582589285714286,0.7901785714285714,0.8571428571428571,60696.0,-3.9062,38.76,-0.027,-0.024,0.96,0.82,0.058,41.67,28.6
2000-08-04,AAPL,0.8833705357142857,0.9151785714285714,0.8270089285714286,0.8459821428571429,46986.0,3.562,36.76,-0.029,-0.026,0.93,0.82,0.066,34.72,27.42
2000-08-07,AAPL,0.8549107142857143,0.8761160714285714,0.8426339285714286,0.8560267857142857,33455.0,-7.4316,40.01,-0.029,-0.028,0.93,0.82,0.062,44.7,40.36
2000-08-08,AAPL,0.8560267857142857,0.8571428571428571,0.8270089285714286,0.8348214285714286,31549.0,4.8128,35.51,-0.031,-0.029,0.93,0.81,0.052,33.9,37.77
2000-08-09,AAPL,0.859375,0.8649553571428571,0.84375,0.8482142857142857,67793.0,0.3947,40.45,-0.03,-0.03,0.93,0.81,0.048,46.43,41.68
2000-08-10,AAPL,0.8571428571428571,0.8649553571428571,0.8459821428571429,0.8493303571428571,44949.0,0.7884,40.89,-0.029,-0.029,0.9,0.82,0.045,47.32,42.55
2000-08-11,AAPL,0.8364955357142857,0.8571428571428571,0.8136160714285714,0.8515625,42510.0,-3.9318,41.89,-0.028,-0.029,0.9,0.82,0.045,49.11,47.62
2000-08-14,AAPL,0.8498883928571429,0.8515625,0.8270089285714286,0.8404017857142857,27975.0,-2.3904,38.12,-0.027,-0.028,0.88,0.83,0.038,26.37,40.93
2000-08-15,AAPL,0.84375,0.8560267857142857,0.8303571428571429,0.8337053571428571,20393.0,11.6466,35.86,-0.027,-0.027,0.86,0.83,0.029,32.14,35.87
2000-08-16,AAPL,0.8370535714285714,0.875,0.8359375,0.8660714285714286,25656.0,18.1701,51.92,-0.023,-0.025,0.87,0.83,0.031,85.45,47.99
2000-08-17,AAPL,0.8638392857142857,0.9363839285714286,0.8627232142857143,0.9185267857142856,48375.0,-8.384,67.37,-0.014,-0.02,0.9,0.81,0.037,85.45,67.68
2000-08-18,AAPL,0.9174107142857144,0.9252232142857144,0.890625,0.8928571428571429,33960.0,3.0,56.93,-0.01,-0.015,0.91,0.81,0.037,64.55,78.48
2000-08-21,AAPL,0.8973214285714286,0.9207589285714286,0.8861607142857143,0.9017857142857144,24012.0,7.0545,59.48,-0.006,-0.01,0.92,0.8,0.04,71.82,73.94
2000-08-22,AAPL,0.9040178571428572,0.9430803571428572,0.8995535714285714,0.9229910714285714,49429.0,15.2358,65.19,-0.0,-0.005,0.94,0.81,0.04,82.69,73.02
2000-08-23,AAPL,0.9190848214285714,0.9776785714285714,0.9118303571428572,0.9698660714285714,42297.0,9.9252,74.46,0.009,0.002,0.97,0.8,0.046,94.7,83.07
2000-08-24,AAPL,0.9762834821428572,1.0111607142857142,0.953125,1.001953125,55494.0,3.7594,78.95,0.019,0.01,1.01,0.79,0.05,94.75,90.71
2000-08-25,AAPL,1.0089285714285714,1.0267857142857142,1.0066964285714286,1.0145089285714286,59725.0,6.6007,80.51,0.027,0.019,1.04,0.79,0.048,92.52,93.99
2000-08-28,AAPL,1.0223214285714286,1.0535714285714286,1.0189732142857142,1.0368303571428572,64108.0,5.8127,83.11,0.035,0.027,1.07,0.8,0.043,90.0,92.42
2000-08-29,AAPL,1.0334821428571428,1.0613839285714286,1.0301339285714286,1.0569196428571428,47684.0,1.5839,85.18,0.042,0.034,1.09,0.83,0.042,97.45,93.32
2000-08-30,AAPL,1.0535714285714286,1.0714285714285714,1.0482700892857142,1.0625,50963.0,7.2479,85.75,0.047,0.041,1.11,0.85,0.041,94.81,94.09
2000-08-31,AAPL,1.0530133928571428,1.0982142857142858,1.0524553571428572,1.0881696428571428,74928.0,12.3077,88.18,0.053,0.047,1.13,0.85,0.041,94.61,95.62
2000-09-01,AAPL,1.0948660714285714,1.1361607142857142,1.0915178571428572,1.1328125,45870.0,-4.7291,91.21,0.061,0.054,1.16,0.87,0.039,98.17,95.86
2000-09-05,AAPL,1.1188616071428572,1.1450892857142858,1.1116071428571428,1.1149553571428572,53329.0,-18.580005,81.45,0.064,0.059,1.17,0.91,0.035,78.23,90.34
2000-09-06,AAPL,1.0959821428571428,1.1138392857142858,1.03125,1.0435267857142858,63465.0,18.2888,54.31,0.057,0.058,1.15,0.95,0.043,19.47,65.29
2000-09-07,AAPL,1.0558035714285714,1.1171875,1.0401785714285714,1.1071428571428572,38833.0,-15.121,66.06,0.058,0.058,1.15,0.98,0.049,66.99,54.9
